id,rdfs_label,name,b_type
HGNC:1633,CD19 molecule,CD19,gene
HGNC:8619,paired box 5,PAX5,gene
HGNC:5541,immunoglobulin heavy constant mu,IGHM,gene
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene
HGNC:1633,CD19,CD19,protein
HGNC:7154,MME,CD10,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:5541,IGHM,IgM,protein
HGNC:5480,IGHD,IgD,protein
HGNC:1633,CD19 molecule,CD19,gene
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene
HGNC:5478,immunoglobulin heavy constant alpha 1,IGHA1,gene
HGNC:5525,immunoglobulin heavy constant gamma 1 (G1m marker),IGHG1,gene
HGNC:6210,CD82 molecule,CD82,gene
HGNC:10720,selectin L,SELL,gene
HGNC:11922,CD27 molecule,CD27,gene
HGNC:1633,CD19,CD19,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:2336,CR2,CD21,protein
HGNC:1643,CD22,CD22,protein
HGNC:11922,CD27,CD27,protein
HGNC:5541,IGHM,IgM,protein
HGNC:5480,IGHD,IgD,protein
HGNC:1633,CD19 molecule,CD19,gene
HGNC:8619,paired box 5,PAX5,gene
HGNC:5541,immunoglobulin heavy constant mu,IGHM,gene
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene
HGNC:11919,CD40 molecule,CD40,gene
HGNC:3612,Fc epsilon receptor II,FCER2,gene
HGNC:1633,CD19,CD19,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:2336,CR2,CD21,protein
HGNC:5480,IGHD,IgD,protein
HGNC:11922,CD27,CD27,protein
HGNC:7154,MME,CD10,protein
HGNC:1667,CD38,CD38+/lo,protein
HGNC:1645,CD24,CD24+/lo,protein
HGNC:38476,immunoglobulin lambda like polypeptide 5,IGLL5,gene
HGNC:11200,SRY-box transcription factor 4,SOX4,gene
HGNC:1004,BAF chromatin remodeling complex subunit BCL7A,BCL7A,gene
HGNC:11648,TCL1 family AKT coactivator A,TCL1A,gene
HGNC:18504,Fc receptor like A,FCRLA,gene
HGNC:1645,CD24 molecule,CD24,gene
HGNC:1633,CD19,CD19,protein
HGNC:7315,MS4A1,CD20,protein
HGNC:2336,CR2,CD21,protein
HGNC:1643,CD22,CD22,protein
HGNC:5480,IGHD,IgD,protein
HGNC:11922,CD27,CD27,protein
HGNC:7154,MME,CD10,protein
HGNC:1667,CD38,CD38,protein
HGNC:1645,CD24,CD24,protein
HGNC:1685,CD5,CD5,protein
HGNC:26705,C-type lectin domain containing 9A,CLEC9A,gene
HGNC:5951,cell adhesion molecule 1,CADM1,gene
HGNC:1625,X-C motif chemokine receptor 1,XCR1,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:1628,CD14,CD14,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:7656,NCAM1,CD56,protein
,,HLA-DR,protein
HGNC:6152,ITGAX,CD11c+/lo,protein
HGNC:6012,IL3RA,CD123,protein
HGNC:11784,THBD,CD141hi,protein
HGNC:26705,CLEC9A,CLEC9A,protein
HGNC:1636,CD1C,CD1c-/lo,protein
HGNC:1636,CD1c molecule,CD1C,gene
HGNC:3609,Fc epsilon receptor Ia,FCER1A,gene
HGNC:16916,C-type lectin domain containing 10A,CLEC10A,gene
HGNC:4943,"major histocompatibility complex, class II, DQ alpha 2",HLA-DQA2,gene
HGNC:4940,"major histocompatibility complex, class II, DP beta 1",HLA-DPB1,gene
HGNC:3618,Fc gamma receptor IIb,FCGR2B,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:1628,CD14,CD14,protein
HGNC:3619,FCGR3A,CD16,protein
HGNC:7656,NCAM1,CD56,protein
,,HLA-DR,protein
HGNC:6152,ITGAX,CD11c+/lo,protein
HGNC:6012,IL3RA,CD123,protein
HGNC:11784,THBD,CD141,protein
HGNC:1636,CD1C,CD1c,protein
HGNC:1636,CD1c molecule,CD1C,gene
HGNC:3609,Fc epsilon receptor Ia,FCER1A,gene
HGNC:16916,C-type lectin domain containing 10A,CLEC10A,gene
HGNC:10498,S100 calcium binding protein A8,S100A8,gene
HGNC:10499,S100 calcium binding protein A9,S100A9,gene
HGNC:1663,CD36 molecule,CD36,gene
HGNC:1631,CD163 molecule,CD163,gene
HGNC:1674,CD3E,CD3,protein
HGNC:1633,CD19,CD19,protein
HGNC:1628,CD14,CD14-/lo,protein
