id,rdfs_label,name,b_type,b_iri
HGNC:1633,CD19 molecule,CD19,gene,http://identifiers.org/hgnc/1633
HGNC:8619,paired box 5,PAX5,gene,http://identifiers.org/hgnc/8619
HGNC:5541,immunoglobulin heavy constant mu,IGHM,gene,http://identifiers.org/hgnc/5541
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene,http://identifiers.org/hgnc/7315
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7154,MME,CD10,protein,http://identifiers.org/hgnc/7154
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:5541,IGHM,IgM,protein,http://identifiers.org/hgnc/5541
HGNC:5480,IGHD,IgD,protein,http://identifiers.org/hgnc/5480
HGNC:1633,CD19 molecule,CD19,gene,http://identifiers.org/hgnc/1633
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene,http://identifiers.org/hgnc/7315
HGNC:5478,immunoglobulin heavy constant alpha 1,IGHA1,gene,http://identifiers.org/hgnc/5478
HGNC:5525,immunoglobulin heavy constant gamma 1 (G1m marker),IGHG1,gene,http://identifiers.org/hgnc/5525
HGNC:6210,CD82 molecule,CD82,gene,http://identifiers.org/hgnc/6210
HGNC:10720,selectin L,SELL,gene,http://identifiers.org/hgnc/10720
HGNC:11922,CD27 molecule,CD27,gene,http://identifiers.org/hgnc/11922
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:2336,CR2,CD21,protein,http://identifiers.org/hgnc/2336
HGNC:1643,CD22,CD22,protein,http://identifiers.org/hgnc/1643
HGNC:11922,CD27,CD27,protein,http://identifiers.org/hgnc/11922
HGNC:5541,IGHM,IgM,protein,http://identifiers.org/hgnc/5541
HGNC:5480,IGHD,IgD,protein,http://identifiers.org/hgnc/5480
HGNC:1633,CD19 molecule,CD19,gene,http://identifiers.org/hgnc/1633
HGNC:8619,paired box 5,PAX5,gene,http://identifiers.org/hgnc/8619
HGNC:5541,immunoglobulin heavy constant mu,IGHM,gene,http://identifiers.org/hgnc/5541
HGNC:7315,membrane spanning 4-domains A1,MS4A1,gene,http://identifiers.org/hgnc/7315
HGNC:11919,CD40 molecule,CD40,gene,http://identifiers.org/hgnc/11919
HGNC:3612,Fc epsilon receptor II,FCER2,gene,http://identifiers.org/hgnc/3612
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:2336,CR2,CD21,protein,http://identifiers.org/hgnc/2336
HGNC:5480,IGHD,IgD,protein,http://identifiers.org/hgnc/5480
HGNC:11922,CD27,CD27,protein,http://identifiers.org/hgnc/11922
HGNC:7154,MME,CD10,protein,http://identifiers.org/hgnc/7154
HGNC:1667,CD38,CD38+/lo,protein,http://identifiers.org/hgnc/1667
HGNC:1645,CD24,CD24+/lo,protein,http://identifiers.org/hgnc/1645
HGNC:38476,immunoglobulin lambda like polypeptide 5,IGLL5,gene,http://identifiers.org/hgnc/38476
HGNC:11200,SRY-box transcription factor 4,SOX4,gene,http://identifiers.org/hgnc/11200
HGNC:1004,BAF chromatin remodeling complex subunit BCL7A,BCL7A,gene,http://identifiers.org/hgnc/1004
HGNC:11648,TCL1 family AKT coactivator A,TCL1A,gene,http://identifiers.org/hgnc/11648
HGNC:18504,Fc receptor like A,FCRLA,gene,http://identifiers.org/hgnc/18504
HGNC:1645,CD24 molecule,CD24,gene,http://identifiers.org/hgnc/1645
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:7315,MS4A1,CD20,protein,http://identifiers.org/hgnc/7315
HGNC:2336,CR2,CD21,protein,http://identifiers.org/hgnc/2336
HGNC:1643,CD22,CD22,protein,http://identifiers.org/hgnc/1643
HGNC:5480,IGHD,IgD,protein,http://identifiers.org/hgnc/5480
HGNC:11922,CD27,CD27,protein,http://identifiers.org/hgnc/11922
HGNC:7154,MME,CD10,protein,http://identifiers.org/hgnc/7154
HGNC:1667,CD38,CD38,protein,http://identifiers.org/hgnc/1667
HGNC:1645,CD24,CD24,protein,http://identifiers.org/hgnc/1645
HGNC:1685,CD5,CD5,protein,http://identifiers.org/hgnc/1685
HGNC:26705,C-type lectin domain containing 9A,CLEC9A,gene,http://identifiers.org/hgnc/26705
HGNC:5951,cell adhesion molecule 1,CADM1,gene,http://identifiers.org/hgnc/5951
HGNC:1625,X-C motif chemokine receptor 1,XCR1,gene,http://identifiers.org/hgnc/1625
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:1628,CD14,CD14,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
,,HLA-DR,protein,https://purl.org/ccf/ASCTB-TEMP_hla-dr
HGNC:6152,ITGAX,CD11c+/lo,protein,http://identifiers.org/hgnc/6152
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:11784,THBD,CD141hi,protein,http://identifiers.org/hgnc/11784
HGNC:26705,CLEC9A,CLEC9A,protein,http://identifiers.org/hgnc/26705
HGNC:1636,CD1C,CD1c-/lo,protein,http://identifiers.org/hgnc/1636
HGNC:1636,CD1c molecule,CD1C,gene,http://identifiers.org/hgnc/1636
HGNC:3609,Fc epsilon receptor Ia,FCER1A,gene,http://identifiers.org/hgnc/3609
HGNC:16916,C-type lectin domain containing 10A,CLEC10A,gene,http://identifiers.org/hgnc/16916
HGNC:4943,"major histocompatibility complex, class II, DQ alpha 2",HLA-DQA2,gene,http://identifiers.org/hgnc/4943
HGNC:4940,"major histocompatibility complex, class II, DP beta 1",HLA-DPB1,gene,http://identifiers.org/hgnc/4940
HGNC:3618,Fc gamma receptor IIb,FCGR2B,gene,http://identifiers.org/hgnc/3618
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
HGNC:1628,CD14,CD14,protein,http://identifiers.org/hgnc/1628
HGNC:3619,FCGR3A,CD16,protein,http://identifiers.org/hgnc/3619
HGNC:7656,NCAM1,CD56,protein,http://identifiers.org/hgnc/7656
,,HLA-DR,protein,https://purl.org/ccf/ASCTB-TEMP_hla-dr
HGNC:6152,ITGAX,CD11c+/lo,protein,http://identifiers.org/hgnc/6152
HGNC:6012,IL3RA,CD123,protein,http://identifiers.org/hgnc/6012
HGNC:11784,THBD,CD141,protein,http://identifiers.org/hgnc/11784
HGNC:1636,CD1C,CD1c,protein,http://identifiers.org/hgnc/1636
HGNC:1636,CD1c molecule,CD1C,gene,http://identifiers.org/hgnc/1636
HGNC:3609,Fc epsilon receptor Ia,FCER1A,gene,http://identifiers.org/hgnc/3609
HGNC:16916,C-type lectin domain containing 10A,CLEC10A,gene,http://identifiers.org/hgnc/16916
HGNC:10498,S100 calcium binding protein A8,S100A8,gene,http://identifiers.org/hgnc/10498
HGNC:10499,S100 calcium binding protein A9,S100A9,gene,http://identifiers.org/hgnc/10499
HGNC:1663,CD36 molecule,CD36,gene,http://identifiers.org/hgnc/1663
HGNC:1631,CD163 molecule,CD163,gene,http://identifiers.org/hgnc/1631
HGNC:1674,CD3E,CD3,protein,http://identifiers.org/hgnc/1674
HGNC:1633,CD19,CD19,protein,http://identifiers.org/hgnc/1633
